Date and time:,2020-12-01 16:20:57
Notes:

Chronoamperometry: CA I vs t
Date and time measurement:,2020-11-30 10:47:12,
s,µA
0.00000E+000,9.78136E-004
1.00000E-002,8.28147E-004
2.00000E-002,6.34384E-004
3.00000E-002,5.15628E-004
4.00000E-002,5.53131E-004
5.00000E-002,3.25317E-004
6.00000E-002,4.26569E-004
7.00000E-002,3.19693E-004
8.00000E-002,2.85943E-004
9.00000E-002,3.49693E-004
1.00000E-001,1.88847E-004
1.10000E-001,3.17286E-004
1.20000E-001,1.96597E-004
1.30000E-001,2.20597E-004
1.40000E-001,2.65535E-004
1.50000E-001,1.42159E-004
1.60000E-001,2.66285E-004
1.70000E-001,1.52346E-004
1.80000E-001,1.80597E-004
1.90000E-001,2.19472E-004
2.00000E-001,1.01595E-004
2.10000E-001,2.32035E-004
2.20000E-001,1.31096E-004
2.30000E-001,1.60409E-004
2.40000E-001,2.09534E-004
2.50000E-001,8.80952E-005
2.60000E-001,2.12472E-004
2.70000E-001,1.11595E-004
2.80000E-001,1.34846E-004
2.90000E-001,1.91409E-004
3.00000E-001,6.22196E-005
3.10000E-001,2.01847E-004
3.20000E-001,1.01345E-004
3.30000E-001,1.31471E-004
3.40000E-001,1.81346E-004
3.50000E-001,5.45945E-005
3.60000E-001,1.88722E-004
3.70000E-001,8.98452E-005
3.80000E-001,1.23096E-004
3.90000E-001,1.66534E-004
4.00000E-001,6.09071E-005
4.10000E-001,1.82596E-004
4.20000E-001,7.59075E-005
4.30000E-001,1.04345E-004
4.40000E-001,1.54721E-004
4.50000E-001,4.40943E-005
4.60000E-001,1.83097E-004
4.70000E-001,8.05326E-005
4.80000E-001,1.14533E-004
4.90000E-001,1.53346E-004
5.00000E-001,3.48442E-005
5.10000E-001,1.72471E-004
5.20000E-001,5.85947E-005
5.30000E-001,1.11845E-004
5.40000E-001,1.50471E-004
5.50000E-001,4.09694E-005
5.60000E-001,1.63721E-004
5.70000E-001,6.24073E-005
5.80000E-001,1.07533E-004
5.90000E-001,1.34221E-004
6.00000E-001,2.97191E-005
6.10000E-001,1.62034E-004
6.20000E-001,5.96571E-005
6.30000E-001,1.05720E-004
6.40000E-001,1.45408E-004
6.50000E-001,3.24068E-005
6.60000E-001,1.77971E-004
6.70000E-001,4.93445E-005
6.80000E-001,9.26576E-005
6.90000E-001,1.30221E-004
7.00000E-001,1.98441E-005
7.10000E-001,1.65659E-004
7.20000E-001,5.72195E-005
7.30000E-001,9.98452E-005
7.40000E-001,1.38846E-004
7.50000E-001,2.10316E-005
7.60000E-001,1.57534E-004
7.70000E-001,4.33445E-005
7.80000E-001,9.41577E-005
7.90000E-001,1.30033E-004
8.00000E-001,2.90942E-005
8.10000E-001,1.58784E-004
8.20000E-001,3.77193E-005
8.30000E-001,1.02283E-004
8.40000E-001,1.26033E-004
8.50000E-001,1.58439E-005
8.60000E-001,1.53409E-004
8.70000E-001,4.12819E-005
8.80000E-001,8.81577E-005
8.90000E-001,1.26846E-004
9.00000E-001,1.77815E-005
9.10000E-001,1.58596E-004
9.20000E-001,4.50320E-005
9.30000E-001,8.89702E-005
9.40000E-001,1.26033E-004
9.50000E-001,1.29690E-005
9.60000E-001,1.49346E-004
9.70000E-001,3.87194E-005
9.80000E-001,9.09076E-005
9.90000E-001,1.17408E-004
1.00000E+000,1.56565E-005
1.01000E+000,1.50971E-004
1.02000E+000,3.87194E-005
1.03000E+000,9.12826E-005
1.04000E+000,1.16971E-004
1.05000E+000,2.34065E-005
1.06000E+000,1.43283E-004
1.07000E+000,3.48442E-005
1.08000E+000,8.86576E-005
1.09000E+000,1.12470E-004
1.10000E+000,1.57814E-005
1.11000E+000,1.40783E-004
1.12000E+000,4.42195E-005
1.13000E+000,9.20327E-005
1.14000E+000,1.19033E-004
1.15000E+000,8.15630E-006
1.16000E+000,1.45783E-004
1.17000E+000,2.71566E-005
1.18000E+000,8.78451E-005
1.19000E+000,1.09095E-004
1.20000E+000,1.30939E-005
1.21000E+000,1.55721E-004
1.22000E+000,3.45318E-005
1.23000E+000,8.89075E-005
1.24000E+000,9.96578E-005
1.25000E+000,1.39065E-005
1.26000E+000,1.38971E-004
1.27000E+000,3.20318E-005
1.28000E+000,8.12824E-005
1.29000E+000,1.15721E-004
1.30000E+000,1.46565E-005
1.31000E+000,1.45096E-004
1.32000E+000,3.15318E-005
1.33000E+000,8.80952E-005
1.34000E+000,1.18658E-004
1.35000E+000,2.09379E-006
1.36000E+000,1.48909E-004
1.37000E+000,2.12190E-005
1.38000E+000,8.72200E-005
1.39000E+000,1.04158E-004
1.40000E+000,8.15630E-006
1.41000E+000,1.48971E-004
1.42000E+000,2.60317E-005
1.43000E+000,8.22825E-005
1.44000E+000,1.08658E-004
1.45000E+000,1.40314E-005
1.46000E+000,1.41284E-004
1.47000E+000,3.27191E-005
1.48000E+000,8.64701E-005
1.49000E+000,1.06220E-004
1.50000E+000,1.46866E-006
1.51000E+000,1.40658E-004
1.52000E+000,2.99692E-005
1.53000E+000,8.12824E-005
1.54000E+000,1.07095E-004
1.55000E+000,5.28121E-006
1.56000E+000,1.42846E-004
1.57000E+000,2.21565E-005
1.58000E+000,7.85325E-005
1.59000E+000,1.10720E-004
1.60000E+000,1.00939E-005
1.61000E+000,1.43658E-004
1.62000E+000,2.15940E-005
1.63000E+000,7.81574E-005
1.64000E+000,9.70328E-005
1.65000E+000,2.09379E-006
1.66000E+000,1.41721E-004
1.67000E+000,1.79689E-005
1.68000E+000,8.82826E-005
1.69000E+000,1.11408E-004
1.70000E+000,8.34394E-006
1.71000E+000,1.40908E-004
1.72000E+000,1.54064E-005
1.73000E+000,8.15949E-005
1.74000E+000,9.92203E-005
1.75000E+000,-5.93662E-007
1.76000E+000,1.49409E-004
1.77000E+000,2.45941E-005
1.78000E+000,8.58450E-005
1.79000E+000,9.84702E-005
1.80000E+000,4.03118E-006
1.81000E+000,1.39783E-004
1.82000E+000,1.17815E-005
1.83000E+000,8.62200E-005
1.84000E+000,9.62827E-005
1.85000E+000,1.20940E-005
1.86000E+000,1.37221E-004
1.87000E+000,1.44689E-005
1.88000E+000,8.94702E-005
1.89000E+000,9.25951E-005
1.90000E+000,6.84381E-006
1.91000E+000,1.36658E-004
1.92000E+000,1.73440E-005
1.93000E+000,8.28450E-005
1.94000E+000,9.66578E-005
1.95000E+000,5.21874E-006
1.96000E+000,1.37596E-004
1.97000E+000,1.47190E-005
1.98000E+000,8.44076E-005
1.99000E+000,9.60326E-005
2.00000E+000,8.03137E-006
2.01000E+000,1.38721E-004
2.02000E+000,2.02816E-005
2.03000E+000,8.83451E-005
2.04000E+000,8.72827E-005
2.05000E+000,-6.46877E-006
2.06000E+000,1.37596E-004
2.07000E+000,1.36564E-005
2.08000E+000,9.08451E-005
2.09000E+000,9.42826E-005
2.10000E+000,1.48439E-005
2.11000E+000,1.36721E-004
2.12000E+000,1.07188E-005
2.13000E+000,7.73449E-005
2.14000E+000,9.24702E-005
2.15000E+000,1.18439E-005
2.16000E+000,1.33596E-004
2.17000E+000,1.69065E-005
2.18000E+000,8.19075E-005
2.19000E+000,9.66578E-005
2.20000E+000,-2.81334E-007
2.21000E+000,1.41346E-004
2.22000E+000,7.59387E-006
2.23000E+000,8.15949E-005
2.24000E+000,7.72200E-005
2.25000E+000,7.65634E-006
2.26000E+000,1.45221E-004
2.27000E+000,1.64690E-005
2.28000E+000,1.00283E-004
2.29000E+000,8.82826E-005
2.30000E+000,8.40640E-006
