,Força Normal,Frequência,EG,Ordem
0,2.5,2,4,13
1,5.0,2,4,11
2,8.0,2,4,1
3,2.5,4,4,12
4,5.0,4,4,5
5,8.0,4,4,7
6,2.5,2,4,14
7,5.0,2,4,4
8,8.0,2,4,16
9,2.5,4,4,9
10,5.0,4,4,2
11,8.0,4,4,10
12,5.17,3,4,3
13,5.17,3,4,6
14,5.17,3,4,8
15,5.17,3,4,15
