,Força Normal,Frequência,EG,Ordem
0,2.5,2,4,4
1,5.0,2,4,10
2,8.0,2,4,1
3,2.5,4,4,9
4,5.0,4,4,16
5,8.0,4,4,14
6,2.5,2,4,13
7,5.0,2,4,11
8,8.0,2,4,8
9,2.5,4,4,12
10,5.0,4,4,3
11,8.0,4,4,15
12,5.17,3,4,5
13,5.17,3,4,7
14,5.17,3,4,2
15,5.17,3,4,6
