Created by CETR Data Viewer ver.2.20.107 01/30/21 16:15:47
Created by CETR UMT ver.1.138.259 23 Jan 2021 13:22:51
Total number of runs - 1
Total number of steps = 1
Indenter tip ID = 0
C:\Users\caiot\OneDrive\Documentos\Python\Results\CSV\2021-01-23\cond_001.tst

Run # 1
Script file C:\TRIB\Scripts\Reciprocating Ambient\Caio V\reciprocating_caio_final.cts
Run date 23 Jan 2021 13:22:51
Step No. 1

Step Type Code: 0
Radius       = 4.2378
Velocity     = 0.2
Set Force    = -8
Duration     = 32.15
Data Count   = 32149
Started at: 12:33:53.064 23 Jan 2021

T,Fx,Fz,LV,Z,Ff,COF
sec,N,N,mm,mm,N,

0.0000,0.498,-7.973,-0.007,0.0015,0.498,0.062
0.0010,0.465,-7.995,-0.009,0.0015,0.465,0.058
0.0020,0.458,-8.028,-0.009,0.0015,0.458,0.057
0.0030,0.461,-8.060,-0.008,0.0015,0.461,0.057
0.0040,0.467,-8.092,-0.006,0.0015,0.467,0.058
0.0050,0.473,-8.118,-0.007,0.0015,0.473,0.058
0.0060,0.502,-8.111,-0.009,0.0015,0.502,0.062
0.0070,0.541,-8.034,-0.009,0.0015,0.541,0.067
0.0080,0.529,-7.977,2.096,0.0015,0.529,0.066
0.0090,0.490,-7.982,0.114,0.0015,0.490,0.061
0.0100,0.466,-8.013,-0.002,0.0015,0.466,0.058
0.0110,0.457,-8.042,-0.008,0.0015,0.457,0.057
0.0120,0.458,-8.076,-0.009,0.0015,0.458,0.057
0.0130,0.462,-8.108,-0.009,0.0015,0.462,0.057
0.0140,0.478,-8.123,-0.006,0.0015,0.478,0.059
0.0150,0.525,-8.063,-0.006,0.0015,0.525,0.065
0.0160,0.526,-7.992,-0.007,0.0015,0.526,0.066
0.0170,0.491,-7.976,-0.009,0.0015,0.491,0.062
0.0180,0.467,-8.004,-0.010,0.0015,0.467,0.058
0.0190,0.463,-8.037,-0.010,0.0015,0.463,0.058
0.0200,0.465,-8.070,-0.010,0.0015,0.465,0.058
0.0210,0.470,-8.101,-0.003,0.0015,0.470,0.058
0.0220,0.475,-8.129,-0.005,0.0015,0.475,0.058
0.0230,0.515,-8.088,-0.006,0.0015,0.515,0.064
0.0240,0.532,-8.008,0.810,0.0015,0.532,0.066
0.0250,0.504,-7.970,0.993,0.0015,0.504,0.063
0.0260,0.469,-7.992,0.030,0.0015,0.469,0.059
0.0270,0.456,-8.025,-0.006,0.0015,0.456,0.057
0.0280,0.457,-8.058,-0.006,0.0015,0.457,0.057
0.0290,0.461,-8.085,-0.007,0.0015,0.461,0.057
0.0300,0.467,-8.118,-0.009,0.0015,0.467,0.058
0.0310,0.499,-8.109,-0.010,0.0015,0.499,0.062
0.0320,0.541,-8.036,-0.008,0.0015,0.541,0.067
0.0330,0.524,-7.981,-0.007,0.0015,0.524,0.066
0.0340,0.485,-7.982,-0.009,0.0015,0.485,0.061
0.0350,0.467,-8.016,-0.009,0.0015,0.467,0.058
0.0360,0.462,-8.050,-0.009,0.0015,0.462,0.057
0.0370,0.462,-8.082,-0.009,0.0015,0.462,0.057
0.0380,0.465,-8.113,-0.005,0.0015,0.465,0.057
0.0390,0.475,-8.128,-0.008,0.0015,0.475,0.058
0.0400,0.518,-8.059,-0.008,0.0015,0.518,0.064
0.0410,0.521,-7.992,1.830,0.0015,0.521,0.065
0.0420,0.485,-7.976,0.325,0.0015,0.485,0.061
0.0430,0.463,-8.006,0.009,0.0015,0.463,0.058
0.0440,0.456,-8.035,-0.007,0.0015,0.456,0.057
0.0450,0.460,-8.067,-0.007,0.0015,0.460,0.057
0.0460,0.466,-8.099,-0.009,0.0015,0.466,0.058
0.0470,0.477,-8.127,-0.010,0.0015,0.477,0.059
0.0480,0.524,-8.088,-0.005,0.0015,0.524,0.065
0.0490,0.543,-8.015,-0.008,0.0015,0.543,0.068
0.0500,0.511,-7.971,-0.009,0.0015,0.511,0.064
0.0510,0.474,-7.996,-0.007,0.0015,0.474,0.059
0.0520,0.458,-8.029,-0.009,0.0015,0.458,0.057
0.0530,0.455,-8.061,-0.009,0.0015,0.455,0.056
0.0540,0.460,-8.093,-0.003,0.0015,0.460,0.057
0.0550,0.458,-8.124,-0.007,0.0015,0.458,0.056
0.0560,0.486,-8.107,-0.009,0.0015,0.486,0.060
0.0570,0.527,-8.035,0.019,0.0015,0.527,0.066
0.0580,0.515,-7.977,2.065,0.0015,0.515,0.065
0.0590,0.481,-7.983,0.102,0.0015,0.481,0.060
0.0600,0.468,-8.015,-0.002,0.0015,0.468,0.058
0.0610,0.468,-8.047,-0.004,0.0015,0.468,0.058
0.0620,0.471,-8.079,-0.007,0.0015,0.471,0.058
0.0630,0.475,-8.105,-0.008,0.0015,0.475,0.059
0.0640,0.489,-8.124,-0.009,0.0015,0.489,0.060
0.0650,0.533,-8.062,-0.009,0.0015,0.533,0.066
0.0660,0.531,-7.996,-0.010,0.0015,0.531,0.066
0.0670,0.492,-7.979,-0.003,0.0015,0.492,0.062
0.0680,0.459,-8.008,-0.007,0.0015,0.459,0.057
0.0690,0.449,-8.037,-0.007,0.0015,0.449,0.056
0.0700,0.449,-8.071,-0.008,0.0015,0.449,0.056
0.0710,0.454,-8.102,-0.008,0.0015,0.454,0.056
0.0720,0.461,-8.132,-0.010,0.0015,0.461,0.057
0.0730,0.508,-8.088,-0.010,0.0015,0.508,0.063
0.0740,0.537,-8.012,0.643,0.0015,0.537,0.067
0.0750,0.515,-7.973,0.907,0.0015,0.515,0.065
0.0760,0.483,-7.994,0.029,0.0015,0.483,0.060
0.0770,0.473,-8.025,-0.006,0.0000,0.473,0.059
0.0780,0.473,-8.055,-0.007,0.0000,0.473,0.059
0.0790,0.473,-8.086,-0.008,0.0000,0.473,0.058
0.0800,0.475,-8.118,-0.008,0.0000,0.475,0.059
0.0810,0.503,-8.110,-0.010,0.0000,0.503,0.062
0.0820,0.535,-8.038,-0.007,0.0000,0.535,0.067
0.0830,0.516,-7.982,-0.005,0.0000,0.516,0.065
0.0840,0.474,-7.987,-0.007,0.0000,0.474,0.059
0.0850,0.454,-8.016,-0.008,0.0000,0.454,0.057
0.0860,0.451,-8.051,-0.008,0.0000,0.451,0.056
0.0870,0.456,-8.082,-0.009,0.0000,0.456,0.056
0.0880,0.467,-8.113,-0.007,0.0000,0.467,0.058
0.0890,0.486,-8.129,-0.004,0.0000,0.486,0.060
0.0900,0.535,-8.059,-0.009,0.0000,0.535,0.066
0.0910,0.539,-7.988,1.905,0.0000,0.539,0.067
0.0920,0.504,-7.974,0.309,0.0000,0.504,0.063
0.0930,0.477,-8.004,0.003,0.0000,0.477,0.060
0.0940,0.471,-8.037,-0.006,0.0000,0.471,0.059
0.0950,0.467,-8.069,-0.007,0.0000,0.467,0.058
0.0960,0.467,-8.095,-0.009,0.0000,0.467,0.058
0.0970,0.470,-8.127,-0.009,0.0000,0.470,0.058
0.0980,0.510,-8.087,-0.009,0.0000,0.510,0.063
0.0990,0.529,-8.013,-0.010,0.0000,0.529,0.066
0.1000,0.500,-7.975,-0.007,0.0000,0.500,0.063
0.1010,0.467,-7.999,-0.005,0.0000,0.467,0.058
0.1020,0.456,-8.028,-0.008,0.0000,0.456,0.057
0.1030,0.459,-8.057,-0.007,0.0000,0.459,0.057
0.1040,0.464,-8.091,-0.009,0.0000,0.464,0.057
0.1050,0.472,-8.121,-0.009,0.0000,0.472,0.058
0.1060,0.506,-8.110,-0.009,0.0000,0.506,0.062
0.1070,0.545,-8.034,0.036,0.0000,0.545,0.068
0.1080,0.529,-7.976,1.995,0.0000,0.529,0.066
0.1090,0.488,-7.983,0.099,0.0000,0.488,0.061
0.1100,0.465,-8.014,-0.002,0.0000,0.465,0.058
0.1110,0.457,-8.046,-0.008,0.0000,0.457,0.057
0.1120,0.458,-8.077,-0.010,0.0000,0.458,0.057
0.1130,0.462,-8.110,-0.009,0.0000,0.462,0.057
0.1140,0.478,-8.126,-0.009,0.0000,0.478,0.059
0.1150,0.526,-8.063,-0.005,0.0000,0.526,0.065
0.1160,0.525,-7.995,-0.008,0.0000,0.525,0.066
0.1170,0.490,-7.975,-0.008,0.0000,0.490,0.061
0.1180,0.465,-8.008,-0.009,0.0000,0.465,0.058
0.1190,0.462,-8.039,-0.010,0.0000,0.462,0.057
0.1200,0.467,-8.071,-0.008,0.0000,0.467,0.058
0.1210,0.473,-8.104,-0.005,0.0000,0.473,0.058
0.1220,0.475,-8.128,-0.008,0.0000,0.475,0.058
0.1230,0.519,-8.085,-0.009,0.0000,0.519,0.064
0.1240,0.537,-8.010,0.684,0.0000,0.537,0.067
0.1250,0.508,-7.971,0.892,0.0000,0.508,0.064
0.1260,0.475,-7.996,0.029,0.0000,0.475,0.059
0.1270,0.462,-8.027,-0.003,0.0000,0.462,0.058
0.1280,0.458,-8.058,-0.007,0.0000,0.458,0.057
0.1290,0.462,-8.085,-0.006,0.0000,0.462,0.057
0.1300,0.467,-8.119,-0.008,0.0000,0.467,0.057
0.1310,0.500,-8.108,-0.008,0.0000,0.500,0.062
0.1320,0.537,-8.037,-0.009,0.0000,0.537,0.067
0.1330,0.524,-7.980,-0.004,0.0000,0.524,0.066
0.1340,0.485,-7.988,-0.006,0.0000,0.485,0.061
0.1350,0.466,-8.015,-0.007,0.0000,0.466,0.058
0.1360,0.462,-8.049,-0.009,0.0000,0.462,0.057
0.1370,0.464,-8.082,-0.007,0.0000,0.464,0.057
0.1380,0.468,-8.113,-0.005,0.0000,0.468,0.058
0.1390,0.479,-8.128,-0.009,0.0000,0.479,0.059
0.1400,0.525,-8.057,-0.007,0.0000,0.525,0.065
0.1410,0.526,-7.990,1.572,0.0000,0.526,0.066
0.1420,0.491,-7.975,0.244,0.0000,0.491,0.062
0.1430,0.467,-8.006,0.003,0.0000,0.467,0.058
0.1440,0.460,-8.033,-0.009,0.0000,0.460,0.057
0.1450,0.462,-8.066,-0.009,0.0000,0.462,0.057
0.1460,0.472,-8.099,-0.009,0.0000,0.472,0.058
0.1470,0.482,-8.129,-0.002,0.0000,0.482,0.059
0.1480,0.523,-8.084,-0.009,0.0000,0.523,0.065
0.1490,0.544,-8.016,-0.009,0.0000,0.544,0.068
0.1500,0.521,-7.977,-0.009,0.0000,0.521,0.065
0.1510,0.487,-7.997,-0.009,0.0000,0.487,0.061
0.1520,0.478,-8.031,-0.004,0.0000,0.478,0.060
0.1530,0.470,-8.062,-0.008,0.0000,0.470,0.058
0.1540,0.471,-8.089,-0.009,0.0000,0.471,0.058
0.1550,0.473,-8.124,-0.007,0.0000,0.473,0.058
0.1560,0.503,-8.111,-0.010,0.0000,0.503,0.062
0.1570,0.544,-8.035,-0.006,0.0000,0.544,0.068
0.1580,0.533,-7.978,1.453,0.0000,0.533,0.067
0.1590,0.495,-7.980,0.067,0.0000,0.495,0.062
0.1600,0.481,-8.014,-0.005,0.0000,0.481,0.060
0.1610,0.478,-8.046,-0.010,0.0000,0.478,0.059
0.1620,0.484,-8.078,-0.005,0.0000,0.484,0.060
0.1630,0.486,-8.109,-0.008,0.0000,0.486,0.060
0.1640,0.499,-8.118,-0.009,0.0000,0.499,0.061
0.1650,0.543,-8.059,-0.010,0.0000,0.543,0.067
0.1660,0.541,-7.996,-0.010,0.0000,0.541,0.068
0.1670,0.507,-7.979,-0.007,0.0000,0.507,0.063
0.1680,0.478,-8.009,-0.007,0.0000,0.478,0.060
0.1690,0.467,-8.037,-0.008,0.0000,0.467,0.058
0.1700,0.464,-8.068,-0.010,0.0000,0.464,0.058
0.1710,0.467,-8.102,-0.007,0.0000,0.467,0.058
0.1720,0.471,-8.131,-0.009,0.0000,0.471,0.058
0.1730,0.519,-8.084,-0.007,0.0000,0.519,0.064
0.1740,0.539,-8.012,0.502,0.0000,0.539,0.067
0.1750,0.512,-7.970,0.809,0.0000,0.512,0.064
