Created by CETR Data Viewer ver.2.20.107 01/30/21 16:15:51
Created by CETR UMT ver.1.138.259 23 Jan 2021 13:28:19
Total number of runs - 1
Total number of steps = 1
Indenter tip ID = 0
C:\Users\caiot\OneDrive\Documentos\Python\Results\CSV\2021-01-23\preload_004.tst

Run # 1
Script file C:\TRIB\Scripts\Reciprocating Ambient\Caio V\reciprocating_caio_final.cts
Run date 23 Jan 2021 13:28:19
Step No. 1

Step Type Code: 0
Radius       = 4.2378
Velocity     = 0
Set Force    = -8
Duration     = 5.09
Data Count   = 510
Started at: 12:33:53.064 23 Jan 2021

T,Fx,Fz,LV,Z,Ff,COF
sec,N,N,mm,mm,N,

0.0000,0.307,-7.806,0.226,-0.0600,0.307,0.039
0.0100,0.293,-7.811,0.192,-0.0600,0.293,0.037
0.0200,0.296,-7.822,-0.008,-0.0599,0.296,0.038
0.0300,0.300,-7.830,0.169,-0.0595,0.300,0.038
0.0400,0.300,-7.828,-0.008,-0.0595,0.300,0.038
0.0500,0.306,-7.811,0.201,-0.0595,0.306,0.039
0.0600,0.299,-7.816,0.188,-0.0595,0.299,0.038
0.0700,0.296,-7.826,-0.008,-0.0594,0.296,0.038
0.0800,0.299,-7.835,0.153,-0.0590,0.299,0.038
0.0900,0.305,-7.833,-0.008,-0.0590,0.305,0.039
0.1000,0.309,-7.815,0.194,-0.0590,0.309,0.040
0.1100,0.299,-7.820,0.211,-0.0590,0.299,0.038
0.1200,0.297,-7.830,-0.007,-0.0590,0.297,0.038
0.1300,0.299,-7.838,0.159,-0.0590,0.299,0.038
0.1400,0.303,-7.837,-0.008,-0.0590,0.303,0.039
0.1500,0.307,-7.819,0.217,-0.0586,0.307,0.039
0.1600,0.294,-7.825,0.202,-0.0585,0.294,0.038
0.1700,0.297,-7.835,-0.007,-0.0585,0.297,0.038
0.1800,0.299,-7.843,0.142,-0.0585,0.299,0.038
0.1900,0.304,-7.842,-0.007,-0.0585,0.304,0.039
0.2000,0.310,-7.824,0.193,-0.0581,0.310,0.040
0.2100,0.299,-7.828,0.194,-0.0580,0.299,0.038
0.2200,0.297,-7.839,-0.008,-0.0580,0.297,0.038
0.2300,0.298,-7.847,0.165,-0.0580,0.298,0.038
0.2400,0.308,-7.845,-0.008,-0.0580,0.308,0.039
0.2500,0.307,-7.827,0.213,-0.0576,0.307,0.039
0.2600,0.294,-7.833,0.196,-0.0575,0.294,0.037
0.2700,0.297,-7.843,-0.008,-0.0575,0.297,0.038
0.2800,0.299,-7.850,0.154,-0.0575,0.299,0.038
0.2900,0.301,-7.849,-0.008,-0.0575,0.301,0.038
0.3000,0.309,-7.830,0.202,-0.0575,0.309,0.039
0.3100,0.300,-7.835,0.199,-0.0575,0.300,0.038
0.3200,0.294,-7.846,-0.008,-0.0575,0.294,0.037
0.3300,0.299,-7.853,0.157,-0.0575,0.299,0.038
0.3400,0.307,-7.853,-0.007,-0.0575,0.307,0.039
0.3500,0.307,-7.832,0.190,-0.0571,0.307,0.039
0.3600,0.298,-7.840,0.213,-0.0570,0.298,0.038
0.3700,0.297,-7.847,-0.008,-0.0570,0.297,0.038
0.3800,0.298,-7.857,0.164,-0.0570,0.298,0.038
0.3900,0.302,-7.857,-0.006,-0.0570,0.302,0.038
0.4000,0.312,-7.838,0.174,-0.0566,0.312,0.040
0.4100,0.299,-7.841,0.205,-0.0565,0.299,0.038
0.4200,0.296,-7.853,-0.007,-0.0565,0.296,0.038
0.4300,0.302,-7.861,0.148,-0.0565,0.302,0.038
0.4400,0.308,-7.859,-0.008,-0.0565,0.308,0.039
0.4500,0.311,-7.842,0.189,-0.0561,0.311,0.040
0.4600,0.298,-7.847,0.215,-0.0560,0.298,0.038
0.4700,0.302,-7.855,-0.008,-0.0560,0.302,0.038
0.4800,0.300,-7.865,0.166,-0.0560,0.300,0.038
0.4900,0.303,-7.864,-0.009,-0.0560,0.303,0.039
0.5000,0.311,-7.846,0.198,-0.0560,0.311,0.040
0.5100,0.298,-7.849,0.216,-0.0560,0.298,0.038
0.5200,0.296,-7.859,-0.007,-0.0559,0.296,0.038
0.5300,0.296,-7.868,0.172,-0.0555,0.296,0.038
0.5400,0.302,-7.867,-0.008,-0.0555,0.302,0.038
0.5500,0.307,-7.850,0.185,-0.0555,0.307,0.039
0.5600,0.300,-7.854,0.201,-0.0555,0.300,0.038
0.5700,0.297,-7.864,-0.007,-0.0555,0.297,0.038
0.5800,0.300,-7.871,0.160,-0.0555,0.300,0.038
0.5900,0.304,-7.872,-0.008,-0.0555,0.304,0.039
0.6000,0.307,-7.853,0.189,-0.0551,0.307,0.039
0.6100,0.299,-7.858,0.207,-0.0550,0.299,0.038
0.6200,0.297,-7.867,-0.008,-0.0550,0.297,0.038
0.6300,0.298,-7.876,0.169,-0.0550,0.298,0.038
0.6400,0.301,-7.876,-0.008,-0.0550,0.301,0.038
0.6500,0.312,-7.857,0.187,-0.0546,0.312,0.040
0.6600,0.297,-7.861,0.210,-0.0545,0.297,0.038
0.6700,0.294,-7.871,-0.007,-0.0545,0.294,0.037
0.6800,0.300,-7.879,0.174,-0.0545,0.300,0.038
0.6900,0.301,-7.880,-0.008,-0.0545,0.301,0.038
0.7000,0.307,-7.862,0.180,-0.0545,0.307,0.039
0.7100,0.297,-7.866,0.215,-0.0545,0.297,0.038
0.7200,0.299,-7.875,-0.008,-0.0544,0.299,0.038
0.7300,0.295,-7.883,0.162,-0.0540,0.295,0.037
0.7400,0.303,-7.885,-0.007,-0.0540,0.303,0.038
0.7500,0.311,-7.865,0.186,-0.0540,0.311,0.040
0.7600,0.294,-7.869,0.228,-0.0540,0.294,0.037
0.7700,0.294,-7.878,-0.008,-0.0540,0.294,0.037
0.7800,0.298,-7.886,0.167,-0.0540,0.298,0.038
0.7900,0.303,-7.888,-0.008,-0.0540,0.303,0.038
0.8000,0.304,-7.867,0.179,-0.0536,0.304,0.039
0.8100,0.299,-7.869,0.206,-0.0535,0.299,0.038
0.8200,0.298,-7.881,-0.008,-0.0535,0.298,0.038
0.8300,0.296,-7.889,0.171,-0.0535,0.296,0.037
0.8400,0.304,-7.891,-0.009,-0.0535,0.304,0.038
0.8500,0.309,-7.870,0.187,-0.0535,0.309,0.039
0.8600,0.297,-7.875,0.208,-0.0535,0.297,0.038
0.8700,0.295,-7.883,-0.007,-0.0534,0.295,0.037
0.8800,0.301,-7.890,0.167,-0.0530,0.301,0.038
0.8900,0.303,-7.894,-0.008,-0.0530,0.303,0.038
0.9000,0.308,-7.874,0.178,-0.0530,0.308,0.039
0.9100,0.300,-7.876,0.213,-0.0530,0.300,0.038
0.9200,0.298,-7.887,-0.009,-0.0530,0.298,0.038
0.9300,0.298,-7.893,0.184,-0.0530,0.298,0.038
0.9400,0.304,-7.897,-0.008,-0.0530,0.304,0.038
0.9500,0.309,-7.877,0.173,-0.0526,0.309,0.039
0.9600,0.295,-7.881,0.209,-0.0525,0.295,0.037
0.9700,0.297,-7.890,-0.008,-0.0525,0.297,0.038
0.9800,0.301,-7.898,0.172,-0.0525,0.301,0.038
0.9900,0.305,-7.902,-0.006,-0.0525,0.305,0.039
1.0000,0.313,-7.881,0.148,-0.0525,0.313,0.040
1.0100,0.300,-7.884,0.213,-0.0525,0.300,0.038
1.0200,0.299,-7.893,-0.009,-0.0524,0.299,0.038
1.0300,0.302,-7.901,0.184,-0.0520,0.302,0.038
1.0400,0.304,-7.904,-0.009,-0.0520,0.304,0.038
1.0500,0.310,-7.884,0.165,-0.0520,0.310,0.039
1.0600,0.300,-7.886,0.217,-0.0520,0.300,0.038
1.0700,0.301,-7.897,-0.006,-0.0520,0.301,0.038
1.0800,0.298,-7.905,0.169,-0.0520,0.298,0.038
1.0900,0.306,-7.905,-0.008,-0.0520,0.306,0.039
1.1000,0.312,-7.886,0.168,-0.0516,0.312,0.040
1.1100,0.299,-7.891,0.224,-0.0515,0.299,0.038
1.1200,0.300,-7.901,-0.006,-0.0515,0.300,0.038
1.1300,0.302,-7.907,0.182,-0.0515,0.302,0.038
1.1400,0.302,-7.912,-0.008,-0.0515,0.302,0.038
1.1500,0.309,-7.890,0.176,-0.0515,0.309,0.039
1.1600,0.302,-7.891,0.208,-0.0515,0.302,0.038
1.1700,0.297,-7.904,-0.006,-0.0514,0.297,0.038
1.1800,0.297,-7.912,0.197,-0.0510,0.297,0.038
1.1900,0.304,-7.914,-0.007,-0.0510,0.304,0.038
1.2000,0.310,-7.895,0.158,-0.0510,0.310,0.039
1.2100,0.297,-7.898,0.191,-0.0510,0.297,0.038
1.2200,0.301,-7.907,-0.008,-0.0510,0.301,0.038
1.2300,0.304,-7.914,0.189,-0.0510,0.304,0.038
1.2400,0.301,-7.919,-0.008,-0.0510,0.301,0.038
1.2500,0.312,-7.897,0.156,-0.0506,0.312,0.040
1.2600,0.302,-7.900,0.207,-0.0505,0.302,0.038
1.2700,0.298,-7.910,-0.007,-0.0505,0.298,0.038
1.2800,0.300,-7.918,0.205,-0.0505,0.300,0.038
1.2900,0.304,-7.920,-0.008,-0.0505,0.304,0.038
1.3000,0.312,-7.902,0.143,-0.0505,0.312,0.039
1.3100,0.300,-7.904,0.201,-0.0505,0.300,0.038
1.3200,0.302,-7.913,-0.007,-0.0504,0.302,0.038
1.3300,0.302,-7.921,0.207,-0.0500,0.302,0.038
1.3400,0.304,-7.924,-0.008,-0.0500,0.304,0.038
1.3500,0.311,-7.903,0.162,-0.0500,0.311,0.039
1.3600,0.302,-7.906,0.222,-0.0500,0.302,0.038
1.3700,0.298,-7.915,-0.007,-0.0500,0.298,0.038
1.3800,0.299,-7.923,0.192,-0.0500,0.299,0.038
1.3900,0.303,-7.927,-0.007,-0.0500,0.303,0.038
1.4000,0.308,-7.907,0.166,-0.0496,0.308,0.039
1.4100,0.298,-7.909,0.204,-0.0495,0.298,0.038
1.4200,0.296,-7.917,-0.007,-0.0495,0.296,0.037
1.4300,0.298,-7.926,0.193,-0.0495,0.298,0.038
1.4400,0.302,-7.927,-0.008,-0.0495,0.302,0.038
1.4500,0.309,-7.909,0.166,-0.0495,0.309,0.039
1.4600,0.298,-7.911,0.192,-0.0495,0.298,0.038
1.4700,0.299,-7.921,-0.007,-0.0495,0.299,0.038
1.4800,0.300,-7.929,0.203,-0.0495,0.300,0.038
1.4900,0.300,-7.933,-0.007,-0.0495,0.300,0.038
1.5000,0.312,-7.913,0.156,-0.0491,0.312,0.039
1.5100,0.302,-7.915,0.186,-0.0490,0.302,0.038
1.5200,0.296,-7.922,-0.008,-0.0490,0.296,0.037
1.5300,0.302,-7.932,0.198,-0.0490,0.302,0.038
1.5400,0.310,-7.937,-0.005,-0.0490,0.310,0.039
1.5500,0.312,-7.916,0.159,-0.0490,0.312,0.039
1.5600,0.298,-7.916,0.200,-0.0490,0.298,0.038
1.5700,0.303,-7.927,-0.007,-0.0490,0.303,0.038
1.5800,0.300,-7.933,0.211,-0.0490,0.300,0.038
1.5900,0.301,-7.938,-0.009,-0.0490,0.301,0.038
1.6000,0.315,-7.918,0.150,-0.0486,0.315,0.040
1.6100,0.302,-7.920,0.199,-0.0485,0.302,0.038
1.6200,0.296,-7.928,-0.007,-0.0485,0.296,0.037
1.6300,0.299,-7.938,0.212,-0.0485,0.299,0.038
1.6400,0.306,-7.942,-0.008,-0.0485,0.306,0.039
1.6500,0.311,-7.923,0.151,-0.0481,0.311,0.039
1.6600,0.300,-7.923,0.194,-0.0480,0.300,0.038
1.6700,0.303,-7.932,-0.007,-0.0480,0.303,0.038
1.6800,0.301,-7.941,0.200,-0.0480,0.301,0.038
1.6900,0.303,-7.946,-0.008,-0.0480,0.303,0.038
1.7000,0.314,-7.925,0.169,-0.0480,0.314,0.040
1.7100,0.303,-7.927,0.192,-0.0480,0.303,0.038
1.7200,0.298,-7.934,-0.008,-0.0480,0.298,0.038
