Created by CETR Data Viewer ver.2.20.107 01/30/21 16:15:51
Created by CETR UMT ver.1.138.259 23 Jan 2021 13:22:27
Total number of runs - 1
Total number of steps = 1
Indenter tip ID = 0
C:\Users\caiot\OneDrive\Documentos\Python\Results\CSV\2021-01-23\preload_001.tst

Run # 1
Script file C:\TRIB\Scripts\Reciprocating Ambient\Caio V\reciprocating_caio_final.cts
Run date 23 Jan 2021 13:22:27
Step No. 1

Step Type Code: 0
Radius       = 4.2378
Velocity     = 0
Set Force    = -8
Duration     = 5.09
Data Count   = 510
Started at: 12:33:53.064 23 Jan 2021

T,Fx,Fz,LV,Z,Ff,COF
sec,N,N,mm,mm,N,

0.0000,0.480,-7.807,0.161,0.0179,0.480,0.061
0.0100,0.474,-7.810,0.210,0.0180,0.474,0.061
0.0200,0.474,-7.818,-0.006,0.0180,0.474,0.061
0.0300,0.469,-7.828,0.209,0.0180,0.469,0.060
0.0400,0.473,-7.831,-0.007,0.0180,0.473,0.060
0.0500,0.485,-7.810,0.162,0.0184,0.485,0.062
0.0600,0.472,-7.815,0.215,0.0185,0.472,0.060
0.0700,0.467,-7.822,-0.008,0.0185,0.467,0.060
0.0800,0.472,-7.832,0.204,0.0185,0.472,0.060
0.0900,0.476,-7.835,-0.007,0.0185,0.476,0.061
0.1000,0.478,-7.815,0.179,0.0189,0.478,0.061
0.1100,0.470,-7.818,0.203,0.0190,0.470,0.060
0.1200,0.471,-7.828,-0.007,0.0190,0.471,0.060
0.1300,0.471,-7.837,0.182,0.0190,0.471,0.060
0.1400,0.476,-7.840,-0.008,0.0190,0.476,0.061
0.1500,0.486,-7.820,0.159,0.0194,0.486,0.062
0.1600,0.473,-7.823,0.222,0.0195,0.473,0.060
0.1700,0.471,-7.832,-0.006,0.0195,0.471,0.060
0.1800,0.475,-7.841,0.200,0.0195,0.475,0.061
0.1900,0.474,-7.844,-0.007,0.0195,0.474,0.060
0.2000,0.482,-7.824,0.185,0.0199,0.482,0.062
0.2100,0.469,-7.827,0.227,0.0200,0.469,0.060
0.2200,0.469,-7.837,-0.008,0.0200,0.469,0.060
0.2300,0.473,-7.845,0.185,0.0200,0.473,0.060
0.2400,0.475,-7.848,-0.008,0.0200,0.475,0.061
0.2500,0.485,-7.828,0.165,0.0200,0.485,0.062
0.2600,0.472,-7.831,0.212,0.0200,0.472,0.060
0.2700,0.472,-7.840,-0.007,0.0202,0.472,0.060
0.2800,0.471,-7.848,0.213,0.0205,0.471,0.060
0.2900,0.474,-7.851,-0.008,0.0205,0.474,0.060
0.3000,0.484,-7.831,0.175,0.0205,0.484,0.062
0.3100,0.468,-7.834,0.224,0.0205,0.468,0.060
0.3200,0.470,-7.844,-0.008,0.0205,0.470,0.060
0.3300,0.474,-7.851,0.199,0.0205,0.474,0.060
0.3400,0.475,-7.855,-0.008,0.0205,0.475,0.060
0.3500,0.480,-7.834,0.164,0.0209,0.480,0.061
0.3600,0.475,-7.837,0.224,0.0210,0.475,0.061
0.3700,0.470,-7.846,-0.007,0.0210,0.470,0.060
0.3800,0.467,-7.855,0.211,0.0210,0.467,0.059
0.3900,0.476,-7.858,-0.008,0.0210,0.476,0.061
0.4000,0.484,-7.838,0.157,0.0210,0.484,0.062
0.4100,0.470,-7.841,0.205,0.0210,0.470,0.060
0.4200,0.471,-7.851,-0.007,0.0212,0.471,0.060
0.4300,0.476,-7.855,0.190,0.0215,0.476,0.061
0.4400,0.475,-7.859,-0.007,0.0215,0.475,0.060
0.4500,0.483,-7.840,0.170,0.0215,0.483,0.062
0.4600,0.476,-7.845,0.228,0.0215,0.476,0.061
0.4700,0.471,-7.855,-0.006,0.0217,0.471,0.060
0.4800,0.470,-7.863,0.187,0.0220,0.470,0.060
0.4900,0.480,-7.867,-0.006,0.0220,0.480,0.061
0.5000,0.486,-7.846,0.170,0.0220,0.486,0.062
0.5100,0.473,-7.849,0.227,0.0220,0.473,0.060
0.5200,0.473,-7.859,-0.007,0.0220,0.473,0.060
0.5300,0.475,-7.866,0.192,0.0220,0.475,0.060
0.5400,0.474,-7.870,-0.008,0.0220,0.474,0.060
0.5500,0.484,-7.850,0.175,0.0224,0.484,0.062
0.5600,0.473,-7.853,0.215,0.0225,0.473,0.060
0.5700,0.472,-7.863,-0.007,0.0225,0.472,0.060
0.5800,0.473,-7.871,0.197,0.0225,0.473,0.060
0.5900,0.476,-7.873,-0.008,0.0225,0.476,0.060
0.6000,0.484,-7.854,0.171,0.0229,0.484,0.062
0.6100,0.472,-7.857,0.216,0.0230,0.472,0.060
0.6200,0.472,-7.867,-0.007,0.0230,0.472,0.060
0.6300,0.471,-7.876,0.195,0.0230,0.471,0.060
0.6400,0.479,-7.878,-0.007,0.0230,0.479,0.061
0.6500,0.483,-7.857,0.165,0.0234,0.483,0.062
0.6600,0.472,-7.861,0.224,0.0235,0.472,0.060
0.6700,0.471,-7.869,-0.008,0.0235,0.471,0.060
0.6800,0.474,-7.879,0.198,0.0235,0.474,0.060
0.6900,0.475,-7.880,-0.008,0.0235,0.475,0.060
0.7000,0.482,-7.861,0.178,0.0235,0.482,0.061
0.7100,0.474,-7.865,0.224,0.0235,0.474,0.060
0.7200,0.468,-7.873,-0.008,0.0237,0.468,0.059
0.7300,0.474,-7.884,0.176,0.0240,0.474,0.060
0.7400,0.481,-7.885,-0.008,0.0240,0.481,0.061
0.7500,0.484,-7.865,0.172,0.0240,0.484,0.062
0.7600,0.472,-7.869,0.229,0.0240,0.472,0.060
0.7700,0.475,-7.877,-0.007,0.0240,0.475,0.060
0.7800,0.476,-7.887,0.185,0.0240,0.476,0.060
0.7900,0.474,-7.889,-0.008,0.0240,0.474,0.060
0.8000,0.487,-7.868,0.188,0.0244,0.487,0.062
0.8100,0.474,-7.871,0.220,0.0245,0.474,0.060
0.8200,0.468,-7.880,-0.008,0.0245,0.468,0.059
0.8300,0.473,-7.888,0.197,0.0245,0.473,0.060
0.8400,0.478,-7.891,-0.007,0.0245,0.478,0.061
0.8500,0.482,-7.872,0.186,0.0245,0.482,0.061
0.8600,0.469,-7.874,0.211,0.0245,0.469,0.060
0.8700,0.476,-7.884,-0.007,0.0247,0.476,0.060
0.8800,0.474,-7.892,0.173,0.0250,0.474,0.060
0.8900,0.478,-7.895,-0.008,0.0250,0.478,0.061
0.9000,0.488,-7.874,0.185,0.0250,0.488,0.062
0.9100,0.475,-7.878,0.218,0.0250,0.475,0.060
0.9200,0.473,-7.887,-0.007,0.0250,0.473,0.060
0.9300,0.475,-7.895,0.192,0.0250,0.475,0.060
0.9400,0.480,-7.897,-0.008,0.0250,0.480,0.061
0.9500,0.484,-7.878,0.168,0.0254,0.484,0.061
0.9600,0.474,-7.880,0.236,0.0255,0.474,0.060
0.9700,0.473,-7.890,-0.007,0.0255,0.473,0.060
0.9800,0.472,-7.898,0.202,0.0255,0.472,0.060
0.9900,0.479,-7.901,-0.007,0.0255,0.479,0.061
1.0000,0.485,-7.880,0.167,0.0255,0.485,0.062
1.0100,0.476,-7.884,0.230,0.0255,0.476,0.060
1.0200,0.474,-7.893,-0.007,0.0257,0.474,0.060
1.0300,0.475,-7.902,0.177,0.0260,0.475,0.060
1.0400,0.479,-7.903,-0.007,0.0260,0.479,0.061
1.0500,0.488,-7.884,0.184,0.0260,0.488,0.062
1.0600,0.477,-7.887,0.225,0.0260,0.477,0.060
1.0700,0.471,-7.898,-0.008,0.0260,0.471,0.060
1.0800,0.477,-7.905,0.186,0.0260,0.477,0.060
1.0900,0.479,-7.907,-0.008,0.0260,0.479,0.061
1.1000,0.483,-7.887,0.187,0.0264,0.483,0.061
1.1100,0.474,-7.891,0.211,0.0265,0.474,0.060
1.1200,0.476,-7.901,-0.007,0.0265,0.476,0.060
1.1300,0.475,-7.910,0.179,0.0265,0.475,0.060
1.1400,0.479,-7.911,-0.008,0.0265,0.479,0.061
1.1500,0.491,-7.890,0.183,0.0265,0.491,0.062
1.1600,0.472,-7.895,0.222,0.0265,0.472,0.060
1.1700,0.471,-7.903,-0.009,0.0267,0.471,0.060
1.1800,0.477,-7.912,0.172,0.0270,0.477,0.060
1.1900,0.480,-7.915,-0.009,0.0270,0.480,0.061
1.2000,0.484,-7.895,0.179,0.0270,0.484,0.061
1.2100,0.477,-7.899,0.218,0.0270,0.477,0.060
1.2200,0.477,-7.908,-0.007,0.0270,0.477,0.060
1.2300,0.475,-7.917,0.188,0.0270,0.475,0.060
1.2400,0.482,-7.919,-0.006,0.0270,0.482,0.061
1.2500,0.487,-7.898,0.184,0.0274,0.487,0.062
1.2600,0.472,-7.901,0.228,0.0275,0.472,0.060
1.2700,0.475,-7.912,-0.005,0.0275,0.475,0.060
1.2800,0.480,-7.920,0.169,0.0275,0.480,0.061
1.2900,0.481,-7.920,-0.007,0.0275,0.481,0.061
1.3000,0.485,-7.902,0.193,0.0275,0.485,0.061
1.3100,0.477,-7.903,0.245,0.0275,0.477,0.060
1.3200,0.472,-7.913,-0.008,0.0277,0.472,0.060
1.3300,0.473,-7.921,0.178,0.0280,0.473,0.060
1.3400,0.478,-7.921,-0.008,0.0280,0.478,0.060
1.3500,0.485,-7.900,0.185,0.0280,0.485,0.061
1.3600,0.476,-7.907,0.228,0.0280,0.476,0.060
1.3700,0.473,-7.916,-0.009,0.0280,0.473,0.060
1.3800,0.478,-7.924,0.176,0.0280,0.478,0.060
1.3900,0.481,-7.926,-0.008,0.0280,0.481,0.061
1.4000,0.486,-7.906,0.187,0.0284,0.486,0.061
1.4100,0.474,-7.910,0.228,0.0285,0.474,0.060
1.4200,0.472,-7.917,-0.008,0.0285,0.472,0.060
1.4300,0.475,-7.926,0.181,0.0285,0.475,0.060
1.4400,0.480,-7.929,-0.005,0.0285,0.480,0.061
1.4500,0.487,-7.907,0.186,0.0285,0.487,0.062
1.4600,0.478,-7.913,0.202,0.0285,0.478,0.060
1.4700,0.476,-7.921,-0.007,0.0285,0.476,0.060
1.4800,0.475,-7.929,0.184,0.0285,0.475,0.060
1.4900,0.481,-7.931,-0.009,0.0285,0.481,0.061
1.5000,0.487,-7.911,0.188,0.0289,0.487,0.062
1.5100,0.471,-7.912,0.226,0.0290,0.471,0.060
1.5200,0.475,-7.924,-0.008,0.0290,0.475,0.060
1.5300,0.476,-7.931,0.188,0.0290,0.476,0.060
1.5400,0.478,-7.933,-0.008,0.0290,0.478,0.060
1.5500,0.484,-7.913,0.185,0.0290,0.484,0.061
1.5600,0.478,-7.918,0.228,0.0290,0.478,0.060
1.5700,0.473,-7.927,-0.007,0.0290,0.473,0.060
1.5800,0.474,-7.935,0.170,0.0290,0.474,0.060
1.5900,0.483,-7.935,-0.008,0.0290,0.483,0.061
1.6000,0.484,-7.916,0.199,0.0294,0.484,0.061
1.6100,0.472,-7.920,0.225,0.0295,0.472,0.060
1.6200,0.476,-7.929,-0.008,0.0295,0.476,0.060
1.6300,0.477,-7.937,0.164,0.0295,0.477,0.060
1.6400,0.477,-7.939,-0.008,0.0295,0.477,0.060
1.6500,0.486,-7.918,0.202,0.0295,0.486,0.061
1.6600,0.476,-7.923,0.231,0.0295,0.476,0.060
1.6700,0.472,-7.933,-0.007,0.0297,0.472,0.059
1.6800,0.476,-7.940,0.170,0.0300,0.476,0.060
1.6900,0.482,-7.941,-0.007,0.0300,0.482,0.061
1.7000,0.487,-7.922,0.203,0.0300,0.487,0.062
1.7100,0.473,-7.928,0.221,0.0300,0.473,0.060
1.7200,0.474,-7.935,-0.008,0.0300,0.474,0.060
1.7300,0.475,-7.943,0.169,0.0300,0.475,0.060
1.7400,0.481,-7.945,-0.008,0.0300,0.481,0.060
1.7500,0.488,-7.925,0.190,0.0304,0.488,0.062
1.7600,0.475,-7.929,0.210,0.0305,0.475,0.060
1.7700,0.475,-7.938,-0.007,0.0305,0.475,0.060
1.7800,0.475,-7.947,0.175,0.0305,0.475,0.060
