Created by CETR Data Viewer ver.2.20.107 01/30/21 16:15:50
Created by CETR UMT ver.1.138.259 23 Jan 2021 13:34:10
Total number of runs - 1
Total number of steps = 1
Indenter tip ID = 0
C:\Users\caiot\OneDrive\Documentos\Python\Results\CSV\2021-01-23\cond_006.tst

Run # 1
Script file C:\TRIB\Scripts\Reciprocating Ambient\Caio V\reciprocating_caio_final.cts
Run date 23 Jan 2021 13:34:10
Step No. 1

Step Type Code: 0
Radius       = 4.2378
Velocity     = 2
Set Force    = -8
Duration     = 32.07
Data Count   = 32074
Started at: 12:33:53.064 23 Jan 2021

T,Fx,Fz,LV,Z,Ff,COF
sec,N,N,mm,mm,N,

0.0000,0.529,-7.940,0.111,0.0040,0.529,0.067
0.0010,0.510,-7.966,-0.002,0.0040,0.510,0.064
0.0020,0.504,-8.003,-0.008,0.0040,0.504,0.063
0.0030,0.507,-8.033,-0.008,0.0040,0.507,0.063
0.0040,0.507,-8.066,-0.008,0.0040,0.507,0.063
0.0050,0.516,-8.083,-0.008,0.0040,0.516,0.064
0.0060,0.558,-8.024,-0.010,0.0040,0.558,0.070
0.0070,0.561,-7.956,-0.004,0.0040,0.561,0.070
0.0080,0.518,-7.934,-0.008,0.0040,0.518,0.065
0.0090,0.491,-7.964,-0.009,0.0040,0.491,0.062
0.0100,0.485,-7.996,-0.010,0.0040,0.485,0.061
0.0110,0.493,-8.029,-0.004,0.0040,0.493,0.061
0.0120,0.497,-8.058,-0.008,0.0040,0.497,0.062
0.0130,0.504,-8.088,-0.009,0.0040,0.504,0.062
0.0140,0.551,-8.049,-0.010,0.0040,0.551,0.068
0.0150,0.579,-7.973,0.427,0.0040,0.579,0.073
0.0160,0.553,-7.925,1.015,0.0040,0.553,0.070
0.0170,0.515,-7.949,0.031,0.0040,0.515,0.065
0.0180,0.503,-7.983,-0.002,0.0040,0.503,0.063
0.0190,0.498,-8.010,-0.008,0.0040,0.498,0.062
0.0200,0.498,-8.045,-0.009,0.0040,0.498,0.062
0.0210,0.500,-8.076,-0.007,0.0040,0.500,0.062
0.0220,0.525,-8.073,-0.006,0.0040,0.525,0.065
0.0230,0.562,-7.995,-0.007,0.0040,0.562,0.070
0.0240,0.548,-7.941,-0.007,0.0040,0.548,0.069
0.0250,0.511,-7.946,-0.009,0.0040,0.511,0.064
0.0260,0.496,-7.975,-0.004,0.0040,0.496,0.062
0.0270,0.493,-8.003,-0.008,0.0040,0.493,0.062
0.0280,0.499,-8.038,-0.007,0.0040,0.499,0.062
0.0290,0.506,-8.069,-0.005,0.0040,0.506,0.063
0.0300,0.517,-8.088,-0.008,0.0040,0.517,0.064
0.0310,0.564,-8.021,-0.009,0.0040,0.564,0.070
0.0320,0.569,-7.953,1.607,0.0040,0.569,0.072
0.0330,0.532,-7.932,0.343,0.0040,0.532,0.067
0.0340,0.504,-7.962,0.009,0.0040,0.504,0.063
0.0350,0.490,-7.994,-0.006,0.0040,0.490,0.061
0.0360,0.489,-8.020,-0.008,0.0040,0.489,0.061
0.0370,0.494,-8.056,-0.007,0.0040,0.494,0.061
0.0380,0.500,-8.086,-0.009,0.0040,0.500,0.062
0.0390,0.543,-8.051,-0.009,0.0040,0.543,0.067
0.0400,0.570,-7.978,-0.007,0.0040,0.570,0.071
0.0410,0.542,-7.932,-0.007,0.0040,0.542,0.068
0.0420,0.511,-7.953,-0.008,0.0040,0.511,0.064
0.0430,0.502,-7.986,-0.007,0.0040,0.502,0.063
0.0440,0.501,-8.019,-0.004,0.0040,0.501,0.063
0.0450,0.502,-8.044,-0.007,0.0040,0.502,0.062
0.0460,0.504,-8.079,-0.009,0.0040,0.504,0.062
0.0470,0.531,-8.076,-0.008,0.0040,0.531,0.066
0.0480,0.570,-8.002,-0.006,0.0040,0.570,0.071
0.0490,0.554,-7.936,2.003,0.0040,0.554,0.070
0.0500,0.516,-7.941,0.115,0.0040,0.516,0.065
0.0510,0.497,-7.972,-0.002,0.0040,0.497,0.062
0.0520,0.493,-8.006,-0.007,0.0040,0.493,0.062
0.0530,0.495,-8.032,-0.008,0.0040,0.495,0.062
0.0540,0.502,-8.067,-0.009,0.0040,0.502,0.062
0.0550,0.519,-8.087,-0.009,0.0040,0.519,0.064
0.0560,0.566,-8.030,-0.007,0.0040,0.566,0.071
0.0570,0.570,-7.955,-0.009,0.0040,0.570,0.072
0.0580,0.535,-7.937,-0.009,0.0040,0.535,0.067
0.0590,0.510,-7.967,-0.003,0.0040,0.510,0.064
0.0600,0.496,-7.995,-0.008,0.0040,0.496,0.062
0.0610,0.494,-8.030,-0.009,0.0040,0.494,0.062
0.0620,0.499,-8.061,-0.004,0.0040,0.499,0.062
0.0630,0.498,-8.088,-0.008,0.0040,0.498,0.062
0.0640,0.540,-8.054,-0.009,0.0040,0.540,0.067
0.0650,0.564,-7.979,0.338,0.0040,0.564,0.071
0.0660,0.541,-7.933,1.177,0.0040,0.541,0.068
0.0670,0.506,-7.948,0.037,0.0040,0.506,0.064
0.0680,0.497,-7.983,-0.006,0.0040,0.497,0.062
0.0690,0.501,-8.016,-0.003,0.0040,0.501,0.063
0.0700,0.503,-8.042,-0.008,0.0040,0.503,0.063
0.0710,0.511,-8.076,-0.009,0.0040,0.511,0.063
0.0720,0.540,-8.076,-0.007,0.0040,0.540,0.067
0.0730,0.577,-8.000,-0.009,0.0040,0.577,0.072
0.0740,0.562,-7.944,-0.009,0.0040,0.562,0.071
0.0750,0.523,-7.946,-0.003,0.0040,0.523,0.066
0.0760,0.496,-7.972,-0.009,0.0040,0.496,0.062
0.0770,0.489,-8.009,-0.008,0.0040,0.489,0.061
0.0780,0.490,-8.042,-0.008,0.0040,0.490,0.061
0.0790,0.491,-8.072,-0.008,0.0040,0.491,0.061
0.0800,0.503,-8.091,-0.009,0.0040,0.503,0.062
0.0810,0.552,-8.031,-0.010,0.0040,0.552,0.069
0.0820,0.565,-7.959,1.513,0.0040,0.565,0.071
0.0830,0.531,-7.930,0.393,0.0040,0.531,0.067
0.0840,0.506,-7.962,0.008,0.0040,0.506,0.064
0.0850,0.502,-7.994,-0.002,0.0040,0.502,0.063
0.0860,0.502,-8.024,-0.008,0.0040,0.502,0.063
0.0870,0.506,-8.054,-0.009,0.0040,0.506,0.063
0.0880,0.514,-8.087,-0.008,0.0040,0.514,0.064
0.0890,0.549,-8.057,-0.008,0.0040,0.549,0.068
0.0900,0.570,-7.981,-0.009,0.0040,0.570,0.071
0.0910,0.541,-7.938,-0.009,0.0040,0.541,0.068
0.0920,0.505,-7.958,-0.005,0.0040,0.505,0.063
0.0930,0.486,-7.987,-0.009,0.0040,0.486,0.061
0.0940,0.485,-8.020,-0.010,0.0040,0.485,0.060
0.0950,0.489,-8.052,-0.007,0.0040,0.489,0.061
0.0960,0.495,-8.079,-0.008,0.0040,0.495,0.061
0.0970,0.520,-8.080,-0.010,0.0040,0.520,0.064
0.0980,0.572,-8.007,-0.003,0.0040,0.572,0.071
0.0990,0.562,-7.943,1.975,0.0040,0.562,0.071
0.1000,0.526,-7.942,0.133,0.0040,0.526,0.066
0.1010,0.508,-7.975,-0.002,0.0040,0.508,0.064
0.1020,0.503,-8.007,-0.008,0.0005,0.503,0.063
0.1030,0.502,-8.034,-0.009,0.0005,0.502,0.062
0.1040,0.507,-8.070,-0.009,0.0005,0.507,0.063
0.1050,0.513,-8.091,-0.008,0.0005,0.513,0.063
0.1060,0.556,-8.032,-0.009,0.0005,0.556,0.069
0.1070,0.563,-7.969,-0.010,0.0005,0.563,0.071
0.1080,0.531,-7.944,-0.006,0.0005,0.531,0.067
0.1090,0.500,-7.966,-0.009,0.0005,0.500,0.063
0.1100,0.494,-8.000,-0.009,0.0005,0.494,0.062
0.1110,0.495,-8.030,-0.006,0.0005,0.495,0.062
0.1120,0.502,-8.061,-0.008,0.0005,0.502,0.062
0.1130,0.511,-8.093,-0.005,0.0005,0.511,0.063
0.1140,0.551,-8.059,-0.008,0.0005,0.551,0.068
0.1150,0.581,-7.983,0.014,0.0005,0.581,0.073
0.1160,0.566,-7.937,0.843,0.0005,0.566,0.071
0.1170,0.532,-7.953,0.029,0.0005,0.532,0.067
0.1180,0.513,-7.980,-0.008,0.0005,0.513,0.064
0.1190,0.511,-8.016,-0.007,0.0005,0.511,0.064
0.1200,0.510,-8.048,-0.009,0.0005,0.510,0.063
0.1210,0.515,-8.080,-0.005,0.0005,0.515,0.064
0.1220,0.534,-8.077,-0.007,0.0005,0.534,0.066
0.1230,0.574,-8.012,-0.007,0.0005,0.574,0.072
0.1240,0.566,-7.952,-0.009,0.0005,0.566,0.071
0.1250,0.532,-7.948,-0.006,0.0005,0.532,0.067
0.1260,0.509,-7.974,-0.010,0.0005,0.509,0.064
0.1270,0.505,-8.009,-0.008,0.0005,0.505,0.063
0.1280,0.508,-8.042,-0.005,0.0005,0.508,0.063
0.1290,0.508,-8.072,-0.009,0.0005,0.508,0.063
0.1300,0.518,-8.093,-0.009,0.0005,0.518,0.064
0.1310,0.565,-8.035,-0.010,0.0005,0.565,0.070
0.1320,0.578,-7.964,0.775,0.0005,0.578,0.073
0.1330,0.542,-7.934,0.352,0.0005,0.542,0.068
0.1340,0.508,-7.963,0.005,0.0005,0.508,0.064
0.1350,0.496,-7.995,-0.006,0.0005,0.496,0.062
0.1360,0.494,-8.027,-0.006,0.0005,0.494,0.061
0.1370,0.492,-8.055,-0.008,0.0005,0.492,0.061
0.1380,0.495,-8.089,-0.009,0.0005,0.495,0.061
0.1390,0.533,-8.061,-0.009,0.0005,0.533,0.066
0.1400,0.560,-7.992,-0.007,0.0005,0.560,0.070
0.1410,0.536,-7.940,-0.008,0.0005,0.536,0.068
0.1420,0.498,-7.956,-0.009,0.0005,0.498,0.063
0.1430,0.485,-7.988,-0.005,0.0005,0.485,0.061
0.1440,0.478,-8.020,-0.008,0.0005,0.478,0.060
0.1450,0.475,-8.050,-0.009,0.0005,0.475,0.059
0.1460,0.476,-8.081,-0.009,0.0005,0.476,0.059
0.1470,0.498,-8.082,-0.008,0.0005,0.498,0.062
0.1480,0.537,-8.010,-0.006,0.0005,0.537,0.067
0.1490,0.527,-7.944,1.656,0.0005,0.527,0.066
0.1500,0.485,-7.942,0.141,0.0005,0.485,0.061
0.1510,0.461,-7.973,-0.002,0.0005,0.461,0.058
0.1520,0.450,-8.006,-0.007,0.0005,0.450,0.056
0.1530,0.447,-8.033,-0.005,0.0005,0.447,0.056
0.1540,0.445,-8.068,-0.007,0.0005,0.445,0.055
0.1550,0.451,-8.091,-0.009,0.0005,0.451,0.056
0.1560,0.494,-8.039,-0.007,0.0005,0.494,0.061
0.1570,0.499,-7.967,-0.008,0.0005,0.499,0.063
0.1580,0.463,-7.941,-0.009,0.0005,0.463,0.058
0.1590,0.430,-7.968,-0.005,0.0005,0.430,0.054
0.1600,0.412,-7.994,-0.009,0.0005,0.412,0.051
0.1610,0.406,-8.029,-0.009,0.0005,0.406,0.051
0.1620,0.402,-8.062,-0.008,0.0005,0.402,0.050
0.1630,0.401,-8.093,-0.008,0.0005,0.401,0.050
0.1640,0.434,-8.060,-0.009,0.0005,0.434,0.054
0.1650,0.456,-7.987,0.171,0.0005,0.456,0.057
0.1660,0.433,-7.937,1.459,0.0005,0.433,0.055
0.1670,0.391,-7.953,0.056,0.0005,0.391,0.049
0.1680,0.369,-7.981,-0.005,0.0005,0.369,0.046
0.1690,0.360,-8.015,-0.009,0.0005,0.360,0.045
0.1700,0.358,-8.047,-0.008,0.0005,0.358,0.044
0.1710,0.357,-8.079,-0.005,0.0005,0.357,0.044
0.1720,0.368,-8.077,-0.008,0.0005,0.368,0.046
0.1730,0.401,-8.013,-0.008,0.0005,0.401,0.050
0.1740,0.389,-7.955,-0.009,0.0005,0.389,0.049
0.1750,0.346,-7.949,-0.009,0.0005,0.346,0.044
