25.0	47.1
25.0	47.0
25.0	46.9
25.0	46.9
25.0	46.9
25.0	47.0
25.0	46.8
25.0	47.1
25.0	47.0
25.0	46.9
25.0	47.2
25.0	47.3
25.0	47.4
25.0	47.3
25.0	47.2
25.0	47.1
25.0	47.0
25.0	47.0
25.0	46.9
25.0	46.8
25.0	46.6
25.0	46.8
25.0	46.8
25.0	46.9
25.0	46.7
25.0	46.4
25.0	46.4
25.0	46.2
25.0	46.4
25.0	46.2
25.0	46.0
25.0	46.4
25.0	46.1
25.0	46.2
25.0	46.4
25.0	46.3
25.0	46.3
25.0	46.2
25.0	46.0
25.0	46.1
25.0	46.0
25.0	46.1
25.0	46.3
25.0	46.3
25.0	46.3
25.0	46.1
25.0	46.4
25.0	47.5
25.0	50.2
25.0	52.4
25.1	52.5
25.0	53.6
25.1	52.9
25.0	52.6
25.1	52.2
25.1	52.1
25.1	52.0
25.1	52.0
25.1	51.8
25.1	51.6
25.1	51.5
25.1	51.2
25.1	50.7
25.1	50.8
25.1	50.9
25.1	51.1
25.1	51.1
25.1	53.6
25.1	56.0
25.1	57.8
25.1	57.7
25.1	57.6
25.1	57.5
25.1	57.2
25.1	57.1
25.1	56.9
25.1	56.8
25.1	56.9
25.1	56.7
25.1	56.7
25.1	56.7
25.1	56.7
25.1	56.8
25.1	56.7
25.1	56.8
25.1	56.6
25.1	56.8
25.1	56.5
25.1	56.4
25.1	56.3
25.1	56.2
25.1	56.4
25.1	56.3
25.1	56.3
25.1	56.3
25.1	56.5
25.1	56.4
25.1	56.4
25.1	56.4
25.1	56.4
25.1	56.4
25.1	56.4
25.1	56.4
25.1	56.5
25.1	56.5
25.1	56.4
25.1	56.2
25.1	56.1
25.1	56.3
25.1	56.4
25.1	56.3
25.1	56.3
25.1	56.1
25.1	56.2
25.1	56.4
25.1	56.6
25.1	56.5
25.1	56.5
25.1	56.3
25.1	56.2
25.1	56.2
25.1	54.8
25.1	55.5
25.1	53.6
25.1	50.9
25.1	49.5
25.1	49.0
25.1	48.7
25.1	48.4
25.1	48.4
25.2	48.2
25.2	48.1
25.2	47.8
25.2	47.3
25.2	47.2
25.2	47.2
25.2	47.0
25.2	46.4
25.2	46.6
