Unnamed: 0,Início,Material,Força Normal (N),Frequência (Hz),Distância (m),COF Médio (-),COF Desv. Pad. (-),COF Médio S (-),COF Desv. Pad. S (-),COF Energético (-),Local,Descrição,Ensaio,Largura Média (µm),Largura Desv. Pad. (µm)
0,2020-11-19 12:26:33,PU Puro,2.5,4.0,30.0,0.3918685502383985,0.018417230971333038,0.3929658426966372,0.08189477173013687,0.3470909577286885,src/PU_atrito/Umidade_FC_001.csv,Umidade Controlada,1,291.54672,2.923147506917843
1,2020-11-19 13:55:10,PU Puro,5.0,4.0,30.0,0.3322296839130946,0.013930649582164173,0.3390329699966217,0.07409619531240885,0.2975324228700537,src/PU_atrito/Umidade_FC_002.csv,Umidade Controlada,2,362.8512,3.866960674431537
2,2020-11-19 14:18:49,PU Puro,2.5,4.0,30.0,0.41258475743237977,0.01715794178684179,0.388892279345683,0.0813697073218815,0.3344465849430949,src/PU_atrito/Umidade_FC_003.csv,Umidade Controlada,3,282.6864,0.7307868767294607
3,2020-11-19 14:47:23,PU Puro,8.0,4.0,30.0,0.2872148331273401,0.009275418110946442,0.2910970670861921,0.08099733955699506,0.261241312771596,src/PU_atrito/Umidade_FC_004.csv,Umidade Controlada,4,432.04608,6.370852289858874
4,2020-11-19 15:35:15,PU Puro,5.0,2.0,30.0,0.3244525931323972,0.015586500550424787,0.3358445413954089,0.08006204944176078,0.3076009293780171,src/PU_atrito/Umidade_FC_005.csv,Umidade Controlada,5,359.05392,4.068849129078148
5,2020-11-19 16:07:05,PU Puro,5.17,3.0,30.0,0.3630541560712389,0.01424513895658169,0.33259785654839324,0.06929770985170164,0.31011264384911746,src/PU_atrito/Umidade_FC_006.csv,Umidade Controlada,6,359.05392,5.981748387085503
6,2020-11-19 16:33:10,PU Puro,5.17,3.0,30.0,0.33511505397709995,0.012770580412528857,0.31598303932564803,0.07730822575508707,0.30282245354012205,src/PU_atrito/Umidade_FC_007.csv,Umidade Controlada,7,359.47584,6.577081890565148
7,2020-11-19 16:53:28,PU Puro,5.17,3.0,30.0,0.3089323224705422,0.010044524202323579,0.3120320772027559,0.07858059400894829,0.29055814958395065,src/PU_atrito/Umidade_FC_008.csv,Umidade Controlada,8,362.8512,3.866960674431537
8,2020-11-19 17:22:11,PU Puro,8.0,2.0,30.0,0.2917342578677334,0.008093991819782539,0.2844930949893426,0.07552261701064396,0.2606465202464833,src/PU_atrito/Umidade_FC_009.csv,Umidade Controlada,9,444.28176,7.699317500350257
9,2020-11-19 17:52:32,PU Puro,2.5,2.0,30.0,0.43497682017407024,0.026008366394644027,0.3988248332746291,0.0834141746346239,0.362619465946747,src/PU_atrito/Umidade_FC_010.csv,Umidade Controlada,10,291.1248,6.697772358986233
10,2020-11-20 11:54:27,PU Puro,5.0,4.0,30.0,0.36120470592386944,0.009296569610189936,0.3286937129246641,0.07063445928624251,0.29709102654219816,src/PU_atrito/Umidade_FC_011.csv,Umidade Controlada,11,352.3032,4.068849129078148
11,2020-11-20 12:13:40,PU Puro,5.17,3.0,30.0,0.2885697957778038,0.007389734812607437,0.2661062742034309,0.05306286846007252,0.2365287685087165,src/PU_atrito/Umidade_FC_012.csv,Umidade Controlada,12,353.14704,3.3488861794931166
12,2020-11-20 12:41:44,PU Puro,2.5,2.0,30.0,0.374164982485136,0.015449694134236925,0.3381133745370324,0.06512571675864401,0.2940957999735483,src/PU_atrito/Umidade_FC_013.csv,Umidade Controlada,13,283.53024,1.2657600000000002
13,2020-11-20 13:14:32,PU Puro,8.0,2.0,30.0,0.3329831999157733,0.011213897903074612,0.2925828505872521,0.07324232266531171,0.2787389768951731,src/PU_atrito/Umidade_FC_014.csv,Umidade Controlada,14,437.10912,5.115508137106252
14,2020-11-20 14:15:02,PU Puro,8.0,4.0,30.0,0.2871155061336637,0.008691136372575707,0.25748906569572483,0.07107169847462831,0.2472941673655398,src/PU_atrito/Umidade_FC_015.csv,Umidade Controlada,15,431.20224,6.971262495932871
15,2020-11-20 14:32:34,PU Puro,5.0,2.0,30.0,0.3733909538029108,0.011390795708850465,0.3333255507458918,0.07094050378404072,0.3042236988337909,src/PU_atrito/Umidade_FC_016.csv,Umidade Controlada,16,360.31968,0.7307868767294607
