Início,Material,Força Normal (N),Frequência (Hz),Distância (m),COF Médio (-),COF Desv. Pad. (-),COF Médio S (-),COF Desv. Pad. S (-),Local,COF Energético (-),Descrição,Umidade Média (%),Umidade Desv. Pad. (%),Temperatura Média (°C),Temperatura Desv. Pad. (°C),Ensaio,Largura Média (µm),Largura Desv. Pad. (µm)
2020-12-03 16:06:59,"PU + 1,3% GNP + 1,3%PAni",8.0,2.0,29.0,0.17542022960853335,0.019018415468436342,0.1612936137606075,0.036515243458546176,src_folder/CSV/GPP11/Umidade_FC_001.csv,0.15814930835162574,Umidade,49.5330581363131,3.0965544873130297,25.430433762958582,0.3288702540009325,1,432.88992,7.047453419895704
2020-12-03 16:40:51,"PU + 1,3% GNP + 1,3%PAni",5.0,4.0,30.0,0.21631732297368889,0.009186730157496006,0.19513288834951456,0.04518283622480622,src_folder/CSV/GPP11/Umidade_FC_002.csv,0.1695356358848495,Umidade,47.337573500477546,0.13741593308889635,25.845967182444873,0.16557254112703726,2,307.57968,3.7972800000000007
2020-12-03 17:03:24,"PU + 1,3% GNP + 1,3%PAni",5.17,3.0,30.0,0.2463996238211296,0.017234070835229248,0.21115460571040107,0.04734508031451426,src_folder/CSV/GPP11/Umidade_FC_003.csv,0.1780401351972171,Umidade,44.38552255349714,0.4035922865013727,27.02911519517657,0.060305794634287875,3,337.536,1.4615737534589217
2020-12-03 17:27:27,"PU + 1,3% GNP + 1,3%PAni",5.0,2.0,30.0,0.26375631978091424,0.01807876101623145,0.22464441970877536,0.044639746254501234,src_folder/CSV/GPP11/Umidade_FC_004.csv,0.19774793973456287,Umidade,48.357709336963254,4.291083066447752,28.41725827209375,1.3549421576161742,4,345.55248,3.3488861794931166
2020-12-03 18:04:08,"PU + 1,3% GNP + 1,3%PAni",5.0,4.0,30.0,0.2356433703461789,0.02102155368100709,0.2129727209401613,0.049109123038870967,src_folder/CSV/GPP11/Umidade_FC_005.csv,0.19385251160862524,Umidade,42.86180981390655,0.7973635272731211,27.22997884044432,0.04639513045635695,5,306.73584,4.792090018520104
2020-12-03 18:20:33,"PU + 1,3% GNP + 1,3%PAni",5.17,3.0,30.0,0.2564287982849657,0.023139762241218158,0.2260985255147109,0.05398771204634275,src_folder/CSV/GPP11/Umidade_FC_006.csv,0.19689584896064946,Umidade,41.09969233109335,0.7652785399360579,27.719250005730004,0.07519793973032245,6,334.58256,2.9231475069178434
2020-12-03 18:52:59,"PU + 1,3% GNP + 1,3%PAni",8.0,4.0,30.0,0.19050469715698395,0.00975883620519486,0.1665683978695193,0.04081193495222104,src_folder/CSV/GPP11/Umidade_FC_007.csv,0.16126795073246053,Umidade,43.47434755454821,0.5998004229183805,28.214845704250315,0.05616775585484298,7,417.27888,6.370852289858898
2020-12-03 19:11:53,"PU + 1,3% GNP + 1,3%PAni",5.17,3.0,30.0,0.1900372607457448,0.016262036768144826,0.17913416727569384,0.04308976208764005,src_folder/CSV/GPP11/Umidade_FC_008.csv,0.1640772771574891,Umidade,44.47088847021529,0.2814667060716374,28.31048821425967,0.09295857851680824,8,346.81824,2.5315200000000004
2020-12-04 11:45:11,"PU + 1,3% GNP + 1,3%PAni",2.5,4.0,30.0,0.29116835599505564,0.019664391296129468,0.2538412405888302,0.05205837194121389,src_folder/CSV/GPP11/Umidade_FC_009.csv,0.2363829468280101,Umidade,49.28002233139132,1.3641790453283211,27.02777913252829,0.066669615500237,9,282.6864,2.6348895554842526
2020-12-04 12:02:36,"PU + 1,3% GNP + 1,3%PAni",8.0,4.0,30.0,0.2590756312908353,0.02211620466709304,0.2307338352623889,0.05689152830576469,src_folder/CSV/GPP11/Umidade_FC_010.csv,0.20347081313879106,Umidade,49.0586462821167,0.3381037392692801,24.402541982531467,0.1436932467117212,10,435.42144,5.0630399999999725
2020-12-04 12:38:17,"PU + 1,3% GNP + 1,3%PAni",5.0,2.0,30.0,0.24325997822613216,0.030383140193085918,0.2285851416755664,0.05843064459686055,src_folder/CSV/GPP11/Umidade_FC_011.csv,0.1855814640634577,Umidade,47.27712123626583,0.5180387911828574,25.79947413959189,0.2292384455974413,11,340.91136,8.427845399246477
2020-12-04 13:09:42,"PU + 1,3% GNP + 1,3%PAni",2.5,4.0,30.0,0.28640596856789685,0.0204681573620368,0.24844809688581315,0.04788384266724213,src_folder/CSV/GPP11/Umidade_FC_012.csv,0.21477251393447197,Umidade,47.61104831002378,0.1273950667483076,26.03183289455022,0.08727574474331612,12,262.01232000000005,3.7972800000000007
2020-12-04 13:55:25,"PU + 1,3% GNP + 1,3%PAni",2.5,2.0,30.0,0.2622285641538921,0.020218042146673283,0.23649665413149434,0.04627781108797002,src_folder/CSV/GPP11/Umidade_FC_013.csv,0.1961880911640467,Umidade,47.41808294536394,0.4722409001647895,26.556850030797637,0.0747737256629649,13,267.07536,4.384721260376732
2020-12-04 14:28:55,"PU + 1,3% GNP + 1,3%PAni",2.5,2.0,30.0,0.3106380654678281,0.0185667120383999,0.27168067532408513,0.05564614798806875,src_folder/CSV/GPP11/Umidade_FC_014.csv,0.2228632276976718,Umidade,47.15490558400703,1.850985357517871,27.185492746663872,1.1461807854369894,14,244.29168,2.1923606301883822
2020-12-04 15:02:48,"PU + 1,3% GNP + 1,3%PAni",5.17,3.0,30.0,0.2682343157783137,0.01524946619417476,0.2363070121847741,0.04907018565220341,src_folder/CSV/GPP11/Umidade_FC_015.csv,0.201749616638782,Umidade,46.29426687771681,0.3656493206063967,26.742384024999108,0.09708498511819194,15,345.9744,1.9334803372157685
